,symbol
0,0IRF.IL
1,0QF.F
2,1315.TW
3,1476.TW
4,1477.TW
5,1536.TW
6,1537.TW
7,1558.TW
8,1560.TW
9,1590.TW
10,1597.TW
11,1707.TW
12,1723.TW
13,1760.TW
14,1773.TW
15,1795.TW
16,2015.TW
17,2049.TW
18,2059.TW
19,2108.TW
20,2114.TW
21,2207.TW
22,2227.TW
23,2231.TW
24,2233.TW
25,2247.TW
26,22UA.F
27,2308.TW
28,2317.TW
29,2327.TW
30,2330.TW
31,2338.TW
32,2345.TW
33,2348.TW
34,2351.TW
35,2357.TW
36,2360.TW
37,2368.TW
38,2373.TW
39,2375.TW
40,2376.TW
41,2377.TW
42,2379.TW
43,2382.TW
44,2383.TW
45,2385.TW
46,2395.TW
47,2404.TW
48,2412.TW
49,2428.TW
50,2436.TW
51,2439.TW
52,2454.TW
53,2455.TW
54,2456.TW
55,2458.TW
56,2474.TW
57,2480.TW
58,2481.TW
59,2492.TW
60,2497.TW
61,2548.TW
62,2597.TW
63,2603.TW
64,2609.TW
65,2615.TW
66,2636.TW
67,2642.TW
68,2707.TW
69,2723.TW
70,2727.TW
71,2731.TW
72,2753.TW
73,2912.TW
74,2915.TW
75,2FB.DE
76,2PP.DE
77,2QO.DE
78,3003.TW
79,3006.TW
80,3008.TW
81,3010.TW
82,3014.TW
83,3016.TW
84,3017.TW
85,3019.TW
86,3023.TW
87,3026.TW
88,3034.TW
89,3035.TW
90,3036.TW
91,3037.TW
92,3042.TW
93,3044.TW
94,3045.TW
95,3130.TW
96,3138.TW
97,3189.TW
98,3376.TW
99,3406.TW
100,3413.TW
101,3443.TW
102,3504.TW
103,3515.TW
104,3530.TW
105,3532.TW
106,3533.TW
107,3545.TW
108,3563.TW
109,3583.TW
110,3588.TW
111,3596.TW
112,3653.TW
113,3661.TW
114,3665.TW
115,3679.TW
116,3708.TW
117,3711.TW
118,3714.TW
119,3E2.F
120,3LN.DE
121,3V64.DE
122,4119.TW
123,4438.TW
124,4536.TW
125,4551.TW
126,4572.TW
127,4576.TW
128,4739.TW
129,4755.TW
130,4766.TW
131,4912.TW
132,4919.TW
133,4961.TW
134,4968.TW
135,4AB.DE
136,4I1.DE
137,5203.TW
138,5222.TW
139,5234.TW
140,5269.TW
141,5283.TW
